image,run,strategy,moves_taken,completed,first_move,ensemble_agreement_count,ensemble_total_considered,agreement_rate,error
test15,1,depth3,-1.0,False,,,,,argument of type 'bool' is not iterable
test15,1,ensemble,0.0,False,,,,,
test15,1,depth2,,,,0.0,0.0,,
test15,1,monte_carlo,,,,0.0,0.0,,
test15,1,depth3,,,,0.0,0.0,,
test15,2,depth2,-1.0,False,,,,,argument of type 'bool' is not iterable
test15,2,monte_carlo,-1.0,False,,,,,argument of type 'bool' is not iterable
test15,2,depth3,-1.0,False,,,,,argument of type 'bool' is not iterable
test15,2,ensemble,0.0,False,,,,,
test15,2,depth2,,,,0.0,0.0,,
test15,2,monte_carlo,,,,0.0,0.0,,
test15,2,depth3,,,,0.0,0.0,,
test15,3,depth2,-1.0,False,,,,,argument of type 'bool' is not iterable
test15,3,monte_carlo,-1.0,False,,,,,argument of type 'bool' is not iterable
test15,3,depth3,-1.0,False,,,,,argument of type 'bool' is not iterable
test15,3,ensemble,0.0,False,,,,,
test15,3,depth2,,,,0.0,0.0,,
test15,3,monte_carlo,,,,0.0,0.0,,
test15,3,depth3,,,,0.0,0.0,,
test15,4,depth2,-1.0,False,,,,,argument of type 'bool' is not iterable
test15,4,monte_carlo,-1.0,False,,,,,argument of type 'bool' is not iterable
test15,4,depth3,-1.0,False,,,,,argument of type 'bool' is not iterable
test15,4,ensemble,0.0,False,,,,,
test15,4,depth2,,,,0.0,0.0,,
test15,4,monte_carlo,,,,0.0,0.0,,
test15,4,depth3,,,,0.0,0.0,,
test15,5,depth2,-1.0,False,,,,,argument of type 'bool' is not iterable
test15,5,monte_carlo,-1.0,False,,,,,argument of type 'bool' is not iterable
test15,5,depth3,-1.0,False,,,,,argument of type 'bool' is not iterable
test15,5,ensemble,0.0,False,,,,,
test15,5,depth2,,,,0.0,0.0,,
test15,5,monte_carlo,,,,0.0,0.0,,
test15,5,depth3,,,,0.0,0.0,,
test16,1,depth2,11.0,True,,,,,
test16,1,monte_carlo,7.0,True,,,,,
test16,1,depth3,5.0,True,,,,,
test16,1,ensemble,7.0,True,,,,,
test16,1,depth2,,,,0.0,6.0,0.0,
test16,1,monte_carlo,,,,2.0,6.0,0.3333333333333333,
test16,1,depth3,,,,0.0,6.0,0.0,
test16,2,depth2,11.0,True,,,,,
test16,2,monte_carlo,11.0,True,,,,,
test16,2,depth3,6.0,True,,,,,
test16,2,ensemble,10.0,True,,,,,
test16,2,depth2,,,,0.0,10.0,0.0,
test16,2,monte_carlo,,,,9.0,10.0,0.9,
test16,2,depth3,,,,0.0,10.0,0.0,
test16,3,depth2,11.0,True,,,,,
test16,3,monte_carlo,5.0,True,,,,,
test16,3,depth3,7.0,True,,,,,
test16,3,ensemble,7.0,True,,,,,
test16,3,depth2,,,,0.0,7.0,0.0,
test16,3,monte_carlo,,,,6.0,7.0,0.8571428571428571,
test16,3,depth3,,,,0.0,7.0,0.0,
test16,4,depth2,11.0,True,,,,,
test16,4,monte_carlo,10.0,True,,,,,
test16,4,depth3,5.0,True,,,,,
test16,4,ensemble,5.0,True,,,,,
test16,4,depth2,,,,0.0,4.0,0.0,
test16,4,monte_carlo,,,,4.0,4.0,1.0,
test16,4,depth3,,,,0.0,4.0,0.0,
test16,5,depth2,10.0,True,,,,,
test16,5,monte_carlo,6.0,True,,,,,
test16,5,depth3,4.0,True,,,,,
test16,5,ensemble,8.0,True,,,,,
test16,5,depth2,,,,0.0,4.0,0.0,
test16,5,monte_carlo,,,,3.0,4.0,0.75,
test16,5,depth3,,,,0.0,4.0,0.0,
test24,1,depth2,14.0,True,,,,,
test24,1,monte_carlo,8.0,True,,,,,
test24,1,depth3,12.0,True,,,,,
test24,1,ensemble,10.0,True,,,,,
test24,1,depth2,,,,0.0,9.0,0.0,
test24,1,monte_carlo,,,,7.0,9.0,0.7777777777777778,
test24,1,depth3,,,,0.0,9.0,0.0,
test24,2,depth2,18.0,True,,,,,
test24,2,monte_carlo,12.0,True,,,,,
test24,2,depth3,16.0,True,,,,,
test24,2,ensemble,16.0,True,,,,,
test24,2,depth2,,,,0.0,12.0,0.0,
test24,2,monte_carlo,,,,12.0,12.0,1.0,
test24,2,depth3,,,,0.0,12.0,0.0,
test24,3,depth2,17.0,True,,,,,
test24,3,monte_carlo,11.0,True,,,,,
test24,3,depth3,11.0,True,,,,,
test24,3,ensemble,11.0,True,,,,,
test24,3,depth2,,,,0.0,10.0,0.0,
test24,3,monte_carlo,,,,8.0,10.0,0.8,
test24,3,depth3,,,,0.0,10.0,0.0,
test24,4,depth2,9.0,True,,,,,
test24,4,monte_carlo,16.0,True,,,,,
test24,4,depth3,15.0,True,,,,,
test24,4,ensemble,11.0,True,,,,,
test24,4,depth2,,,,0.0,9.0,0.0,
test24,4,monte_carlo,,,,7.0,9.0,0.7777777777777778,
test24,4,depth3,,,,0.0,9.0,0.0,
test24,5,depth2,11.0,True,,,,,
test24,5,monte_carlo,13.0,True,,,,,
test24,5,depth3,10.0,True,,,,,
test24,5,ensemble,13.0,True,,,,,
test24,5,depth2,,,,0.0,12.0,0.0,
test24,5,monte_carlo,,,,11.0,12.0,0.9166666666666666,
test24,5,depth3,,,,0.0,12.0,0.0,
test26,1,depth2,12.0,True,,,,,
test26,1,monte_carlo,11.0,True,,,,,
test26,1,depth3,16.0,True,,,,,
test26,1,ensemble,15.0,True,,,,,
test26,1,depth2,,,,0.0,9.0,0.0,
test26,1,monte_carlo,,,,8.0,9.0,0.8888888888888888,
test26,1,depth3,,,,0.0,9.0,0.0,
test26,2,depth2,11.0,True,,,,,
test26,2,monte_carlo,11.0,True,,,,,
test26,2,depth3,10.0,True,,,,,
test26,2,ensemble,12.0,True,,,,,
test26,2,depth2,,,,0.0,11.0,0.0,
test26,2,monte_carlo,,,,8.0,11.0,0.7272727272727273,
test26,2,depth3,,,,0.0,11.0,0.0,
test26,3,depth2,23.0,True,,,,,
test26,3,monte_carlo,14.0,True,,,,,
test26,3,depth3,8.0,True,,,,,
test26,3,ensemble,12.0,True,,,,,
test26,3,depth2,,,,0.0,11.0,0.0,
test26,3,monte_carlo,,,,10.0,11.0,0.9090909090909091,
test26,3,depth3,,,,0.0,11.0,0.0,
test26,4,depth2,9.0,True,,,,,
test26,4,monte_carlo,11.0,True,,,,,
test26,4,depth3,14.0,True,,,,,
test26,4,ensemble,13.0,True,,,,,
test26,4,depth2,,,,0.0,10.0,0.0,
test26,4,monte_carlo,,,,8.0,10.0,0.8,
test26,4,depth3,,,,0.0,10.0,0.0,
test26,5,depth2,11.0,True,,,,,
test26,5,monte_carlo,16.0,True,,,,,
test26,5,depth3,13.0,True,,,,,
test26,5,ensemble,12.0,True,,,,,
test26,5,depth2,,,,0.0,9.0,0.0,
test26,5,monte_carlo,,,,6.0,9.0,0.6666666666666666,
test26,5,depth3,,,,0.0,9.0,0.0,
