image,run,strategy,moves_taken,completed,first_move,ensemble_agreement_count,ensemble_total_considered,agreement_rate,error
test1,5,expectimax,9.0,True,,,,,
test1,5,softmax,12.0,True,,,,,
test1,5,ensemble,15.0,True,,,,,
test1,5,depth,,,,12.0,14.0,0.8571428571428571,
test1,5,monte_carlo,,,,12.0,14.0,0.8571428571428571,
test1,5,mcts,,,,5.0,14.0,0.35714285714285715,
test1,5,expectimax,,,,10.0,14.0,0.7142857142857143,
test1,5,softmax,,,,12.0,14.0,0.8571428571428571,
test1,6,depth,25.0,True,,,,,
test1,6,monte_carlo,26.0,False,,,,,
test1,6,mcts,22.0,True,,,,,
test1,6,expectimax,20.0,True,,,,,
test1,6,softmax,19.0,True,,,,,
test1,6,ensemble,11.0,True,,,,,
test1,6,depth,,,,7.0,8.0,0.875,
test1,6,monte_carlo,,,,7.0,8.0,0.875,
test1,6,mcts,,,,3.0,8.0,0.375,
test1,6,expectimax,,,,6.0,8.0,0.75,
test1,6,softmax,,,,6.0,8.0,0.75,
test1,7,depth,14.0,True,,,,,
test1,7,monte_carlo,7.0,True,,,,,
test1,7,mcts,17.0,True,,,,,
test1,7,expectimax,15.0,True,,,,,
test1,7,softmax,8.0,True,,,,,
test1,7,ensemble,10.0,True,,,,,
test1,7,depth,,,,10.0,10.0,1.0,
test1,7,monte_carlo,,,,9.0,10.0,0.9,
test1,7,mcts,,,,6.0,10.0,0.6,
test1,7,expectimax,,,,8.0,10.0,0.8,
test1,7,softmax,,,,7.0,10.0,0.7,
test1,8,depth,15.0,True,,,,,
test1,8,monte_carlo,20.0,True,,,,,
test1,8,mcts,17.0,True,,,,,
test1,8,expectimax,17.0,True,,,,,
test1,8,softmax,15.0,True,,,,,
test1,8,ensemble,14.0,True,,,,,
test1,8,depth,,,,7.0,12.0,0.5833333333333334,
test1,8,monte_carlo,,,,6.0,12.0,0.5,
test1,8,mcts,,,,7.0,12.0,0.5833333333333334,
test1,8,expectimax,,,,6.0,12.0,0.5,
test1,8,softmax,,,,9.0,12.0,0.75,
test1,9,depth,14.0,True,,,,,
test1,9,monte_carlo,14.0,True,,,,,
test1,9,mcts,26.0,False,,,,,
test1,9,expectimax,13.0,True,,,,,
test1,9,softmax,21.0,True,,,,,
test1,9,ensemble,15.0,True,,,,,
test1,9,depth,,,,12.0,14.0,0.8571428571428571,
test1,9,monte_carlo,,,,14.0,14.0,1.0,
test1,9,mcts,,,,6.0,14.0,0.42857142857142855,
test1,9,expectimax,,,,12.0,14.0,0.8571428571428571,
test1,9,softmax,,,,13.0,14.0,0.9285714285714286,
test1,10,depth,15.0,True,,,,,
test1,10,monte_carlo,24.0,True,,,,,
test1,10,mcts,17.0,True,,,,,
test1,10,expectimax,13.0,True,,,,,
test1,10,softmax,21.0,True,,,,,
test1,10,ensemble,13.0,True,,,,,
test1,10,depth,,,,7.0,10.0,0.7,
test1,10,monte_carlo,,,,10.0,10.0,1.0,
test1,10,mcts,,,,5.0,10.0,0.5,
test1,10,expectimax,,,,5.0,10.0,0.5,
test1,10,softmax,,,,9.0,10.0,0.9,
test1,11,depth,11.0,True,,,,,
test1,11,monte_carlo,9.0,True,,,,,
test1,11,mcts,13.0,True,,,,,
test1,11,expectimax,12.0,True,,,,,
test1,11,softmax,6.0,True,,,,,
test1,11,ensemble,14.0,True,,,,,
test1,11,depth,,,,10.0,12.0,0.8333333333333334,
test1,11,monte_carlo,,,,11.0,12.0,0.9166666666666666,
test1,11,mcts,,,,7.0,12.0,0.5833333333333334,
test1,11,expectimax,,,,7.0,12.0,0.5833333333333334,
test1,11,softmax,,,,10.0,12.0,0.8333333333333334,
test1,12,depth,16.0,True,,,,,
test1,12,monte_carlo,17.0,True,,,,,
test1,12,mcts,18.0,True,,,,,
test1,12,expectimax,13.0,True,,,,,
test1,12,softmax,14.0,True,,,,,
test1,12,ensemble,13.0,True,,,,,
test1,12,depth,,,,8.0,10.0,0.8,
test1,12,monte_carlo,,,,8.0,10.0,0.8,
test1,12,mcts,,,,5.0,10.0,0.5,
test1,12,expectimax,,,,6.0,10.0,0.6,
test1,12,softmax,,,,10.0,10.0,1.0,
test1,13,depth,25.0,True,,,,,
test1,13,monte_carlo,17.0,True,,,,,
test1,13,mcts,16.0,True,,,,,
test1,13,expectimax,12.0,True,,,,,
test1,13,softmax,17.0,True,,,,,
test1,13,ensemble,16.0,True,,,,,
test1,13,depth,,,,9.0,13.0,0.6923076923076923,
test1,13,monte_carlo,,,,11.0,13.0,0.8461538461538461,
test1,13,mcts,,,,5.0,13.0,0.38461538461538464,
test1,13,expectimax,,,,9.0,13.0,0.6923076923076923,
test1,13,softmax,,,,9.0,13.0,0.6923076923076923,
test1,14,depth,18.0,True,,,,,
test1,14,monte_carlo,12.0,True,,,,,
test1,14,mcts,24.0,True,,,,,
test1,14,expectimax,12.0,True,,,,,
test1,14,softmax,12.0,True,,,,,
test1,14,ensemble,14.0,True,,,,,
test1,14,depth,,,,6.0,12.0,0.5,
test1,14,monte_carlo,,,,6.0,12.0,0.5,
test1,14,mcts,,,,8.0,12.0,0.6666666666666666,
test1,14,expectimax,,,,9.0,12.0,0.75,
test1,14,softmax,,,,8.0,12.0,0.6666666666666666,
test1,15,depth,15.0,True,,,,,
test1,15,monte_carlo,19.0,True,,,,,
test1,15,mcts,9.0,True,,,,,
test1,15,expectimax,14.0,True,,,,,
test1,15,softmax,26.0,True,,,,,
test1,15,ensemble,12.0,True,,,,,
test1,15,depth,,,,7.0,10.0,0.7,
test1,15,monte_carlo,,,,8.0,10.0,0.8,
test1,15,mcts,,,,7.0,10.0,0.7,
test1,15,expectimax,,,,6.0,10.0,0.6,
test1,15,softmax,,,,8.0,10.0,0.8,
test1,16,depth,26.0,True,,,,,
test1,16,monte_carlo,11.0,True,,,,,
test1,16,mcts,15.0,True,,,,,
test1,16,expectimax,12.0,True,,,,,
test1,16,softmax,26.0,False,,,,,
test1,16,ensemble,13.0,True,,,,,
test1,16,depth,,,,10.0,13.0,0.7692307692307693,
test1,16,monte_carlo,,,,12.0,13.0,0.9230769230769231,
test1,16,mcts,,,,3.0,13.0,0.23076923076923078,
test1,16,expectimax,,,,7.0,13.0,0.5384615384615384,
test1,16,softmax,,,,9.0,13.0,0.6923076923076923,
test1,17,depth,19.0,True,,,,,
test1,17,monte_carlo,24.0,True,,,,,
test1,17,mcts,20.0,True,,,,,
test1,17,expectimax,26.0,True,,,,,
test1,17,softmax,12.0,True,,,,,
test1,17,ensemble,12.0,True,,,,,
